Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name,Sentiment
,Samsung,,,5,BestBuy Canada,,NEUTRAL
,Superb Sony,,,5,BestBuy Canada,,NEUTRAL
,Love this product,,,5,BestBuy Canada,,NEUTRAL
,Mixed Bag,,,4,BestBuy Canada,,NEUTRAL
,Good headphones,,,5,BestBuy Canada,,NEUTRAL
,Excellent headpiece,,,4,BestBuy Canada,,NEUTRAL
,Fantastic,,,5,BestBuy Canada,,NEUTRAL
,Sound,,,4,BestBuy Canada,,NEUTRAL
,Best Buy,,,5,BestBuy Canada,,NEUTRAL
,Best noise canceling headphones,,,5,BestBuy Canada,,NEUTRAL
,The best of the best,,,5,BestBuy Canada,,NEUTRAL
,BEST Noise Cancellation Headphones EVER,,,5,BestBuy Canada,,NEUTRAL
,,,,5,BestBuy Canada,,NEUTRAL
,,,,5,BestBuy Canada,,NEUTRAL
,Surprisingly underwhelming,,,2,BestBuy Canada,,NEUTRAL
,Almost perfect!,,,4,BestBuy Canada,,NEUTRAL
,WH-1000XM6 Wireless Noise Cancelling Headphones.,,,5,BestBuy Canada,,NEUTRAL
,Lot of amazing feature you will disable but great.,,,4,BestBuy Canada,,NEUTRAL
